transaction_count,total_spent,avg_transaction,std_transaction,total_items,avg_items,first_purchase,last_purchase,recency_days,customer_lifetime_days,customer_id,age,gender,city,loyalty_tier,cluster
3,4333.6900000000005,1444.5633333333335,1009.3203231052735,23,7.666666666666667,2025-03-26 19:19:53.930529,2025-05-11 19:19:53.929529,176,45,2,69,F,Los Angeles,Gold,0
3,3279.9400000000005,1093.3133333333335,588.8025054577582,14,4.666666666666667,2024-11-28 19:19:53.929529,2025-08-29 19:19:53.934529,66,274,3,46,F,Chicago,Silver,0
1,645.38,645.38,0.0,2,2.0,2025-03-15 19:19:53.928529,2025-03-15 19:19:53.928529,233,0,4,32,F,Los Angeles,Gold,1
2,2012.64,1006.32,741.2741808534815,10,5.0,2025-03-25 19:19:53.938529,2025-09-12 19:19:53.927531,52,170,5,60,F,New York,Bronze,1
1,78.12,78.12,0.0,4,4.0,2025-09-13 19:19:53.928529,2025-09-13 19:19:53.928529,51,0,6,25,F,Houston,Gold,1
1,1305.56,1305.56,0.0,4,4.0,2025-08-11 19:19:53.932529,2025-08-11 19:19:53.932529,84,0,7,78,F,Los Angeles,Bronze,1
3,3044.58,1014.86,935.8014270132311,14,4.666666666666667,2025-06-19 19:19:53.931529,2025-09-08 19:19:53.955921,56,81,8,38,F,Los Angeles,Bronze,0
4,5407.56,1351.89,1245.0897183737404,22,5.5,2024-12-01 19:19:53.928529,2025-10-14 19:19:53.928529,20,317,10,75,F,New York,Silver,0
2,2022.8300000000002,1011.4150000000001,826.9260252586081,16,8.0,2024-11-26 19:19:53.949532,2025-03-04 19:19:53.929529,244,97,11,36,F,Chicago,Gold,1
3,5438.75,1812.9166666666667,1737.428660645764,19,6.333333333333333,2024-12-22 19:19:53.930529,2025-10-16 19:19:53.955921,18,298,12,40,F,Los Angeles,Bronze,0
2,1020.1600000000001,510.08000000000004,509.68256787926344,4,2.0,2024-11-22 19:19:53.949532,2025-04-12 19:19:53.941529,205,140,13,28,F,New York,Bronze,1
2,1526.94,763.47,702.2560286676078,6,3.0,2024-12-16 19:19:53.930529,2025-09-18 19:19:53.949532,46,276,14,28,F,Houston,Gold,1
1,1886.08,1886.08,0.0,8,8.0,2025-08-13 19:19:53.936529,2025-08-13 19:19:53.936529,82,0,16,70,F,New York,Silver,1
3,4237.58,1412.5266666666666,1270.5677569233894,18,6.0,2025-04-26 19:19:53.936529,2025-07-22 19:19:53.931529,104,86,17,53,F,Phoenix,Bronze,0
1,257.84,257.84,0.0,1,1.0,2024-12-07 19:19:53.954921,2024-12-07 19:19:53.954921,331,0,18,57,M,Los Angeles,Silver,1
8,13559.630000000001,1694.9537500000001,1212.6412132547403,40,5.0,2024-12-24 19:19:53.932529,2025-10-28 19:19:53.934529,6,308,19,41,F,Los Angeles,Gold,0
2,897.83,448.915,54.52500389729469,7,3.5,2025-09-30 19:19:53.942531,2025-10-22 19:19:53.930529,12,21,21,39,F,Phoenix,Gold,1
3,4062.4700000000003,1354.1566666666668,981.0849655525935,17,5.666666666666667,2025-02-28 19:19:53.929529,2025-06-25 19:19:53.943532,131,117,22,70,F,Los Angeles,Bronze,0
2,2441.02,1220.51,1552.0569582976007,8,4.0,2024-12-07 19:19:53.931529,2025-06-21 19:19:53.946533,135,196,23,19,M,Houston,Gold,1
2,3734.0,1867.0,2518.5446489589976,10,5.0,2025-02-25 19:19:53.953922,2025-08-28 19:19:53.946533,67,183,24,41,F,Chicago,Bronze,0
3,1912.83,637.61,399.91130229089543,16,5.333333333333333,2025-02-03 19:19:53.938529,2025-07-28 19:19:53.932529,98,174,25,61,M,Chicago,Gold,0
2,2890.1000000000004,1445.0500000000002,646.7905727513349,9,4.5,2025-01-30 19:19:53.933530,2025-09-20 19:19:53.955921,44,233,26,47,M,Los Angeles,Gold,0
1,2760.66,2760.66,0.0,6,6.0,2025-02-15 19:19:53.938529,2025-02-15 19:19:53.938529,261,0,27,55,M,Phoenix,Silver,1
2,3143.88,1571.94,1674.7399848334665,15,7.5,2025-01-28 19:19:53.937529,2025-04-27 19:19:53.930529,190,88,28,19,F,Los Angeles,Gold,1
4,4874.0,1218.5,772.8154116820739,18,4.5,2024-11-25 19:19:53.937529,2025-07-25 19:19:53.929529,101,241,29,77,F,Phoenix,Bronze,0
1,132.72,132.72,0.0,6,6.0,2024-11-11 19:19:53.950533,2024-11-11 19:19:53.950533,357,0,30,38,F,Houston,Gold,1
1,599.04,599.04,0.0,9,9.0,2025-06-15 19:19:53.940529,2025-06-15 19:19:53.940529,141,0,31,50,M,Phoenix,Bronze,1
2,1463.71,731.855,1001.3551260417056,9,4.5,2024-12-23 19:19:53.949532,2025-08-15 19:19:53.933530,80,234,33,75,F,Houston,Gold,1
3,4794.7,1598.2333333333333,1144.5301010167157,19,6.333333333333333,2025-02-27 19:19:53.945531,2025-08-21 19:19:53.937529,74,174,35,78,F,Chicago,Gold,0
1,493.4,493.4,0.0,5,5.0,2024-11-17 19:19:53.930529,2024-11-17 19:19:53.930529,351,0,36,61,F,Los Angeles,Gold,1
1,2043.81,2043.81,0.0,9,9.0,2025-07-15 19:19:53.929529,2025-07-15 19:19:53.929529,111,0,37,42,F,Los Angeles,Silver,1
1,3841.92,3841.92,0.0,9,9.0,2024-12-07 19:19:53.951533,2024-12-07 19:19:53.951533,331,0,38,66,M,Los Angeles,Bronze,1
3,11339.83,3779.943333333333,609.5696085217288,26,8.666666666666666,2024-11-06 19:19:53.929529,2025-08-05 19:19:53.929529,90,272,39,44,M,Houston,Gold,0
