customer_id,name,age,gender,city,signup_date,loyalty_tier
1,Customer_1,56,M,Houston,2025-07-22 19:19:54.011793,Gold
2,Customer_2,69,F,Los Angeles,2023-10-18 19:19:54.011793,Gold
3,Customer_3,46,F,Chicago,2023-08-10 19:19:54.011793,Silver
4,Customer_4,32,F,Los Angeles,2024-07-29 19:19:54.011793,Gold
5,Customer_5,60,F,New York,2025-03-04 19:19:54.011793,Bronze
6,Customer_6,25,F,Houston,2025-08-16 19:19:54.011793,Gold
7,Customer_7,78,F,Los Angeles,2024-01-13 19:19:54.011793,Bronze
8,Customer_8,38,F,Los Angeles,2023-05-11 19:19:54.011793,Bronze
9,Customer_9,56,F,Los Angeles,2024-10-05 19:19:54.011793,Bronze
10,Customer_10,75,F,New York,2024-06-01 19:19:54.011793,Silver
11,Customer_11,36,F,Chicago,2023-07-26 19:19:54.011793,Gold
12,Customer_12,40,F,Los Angeles,2023-10-31 19:19:54.011793,Bronze
13,Customer_13,28,F,New York,2023-04-24 19:19:54.011793,Bronze
14,Customer_14,28,F,Houston,2025-02-14 19:19:54.011793,Gold
15,Customer_15,41,F,Phoenix,2024-01-14 19:19:54.011793,Silver
16,Customer_16,70,F,New York,2023-09-07 19:19:54.011793,Silver
17,Customer_17,53,F,Phoenix,2025-02-04 19:19:54.011793,Bronze
18,Customer_18,57,M,Los Angeles,2023-11-30 19:19:54.011793,Silver
19,Customer_19,41,F,Los Angeles,2023-04-06 19:19:54.011793,Gold
20,Customer_20,20,M,New York,2025-05-17 19:19:54.011793,Silver
21,Customer_21,39,F,Phoenix,2025-02-13 19:19:54.011793,Gold
22,Customer_22,70,F,Los Angeles,2023-03-18 19:19:54.011793,Bronze
23,Customer_23,19,M,Houston,2023-08-06 19:19:54.011793,Gold
24,Customer_24,41,F,Chicago,2025-10-10 19:19:54.011793,Bronze
25,Customer_25,61,M,Chicago,2024-07-24 19:19:54.011793,Gold
26,Customer_26,47,M,Los Angeles,2023-06-27 19:19:54.011793,Gold
27,Customer_27,55,M,Phoenix,2024-07-17 19:19:54.011793,Silver
28,Customer_28,19,F,Los Angeles,2024-11-14 19:19:54.011793,Gold
29,Customer_29,77,F,Phoenix,2025-10-10 19:19:54.011793,Bronze
30,Customer_30,38,F,Houston,2025-10-02 19:19:54.011793,Gold
31,Customer_31,50,M,Phoenix,2025-02-14 19:19:54.011793,Bronze
32,Customer_32,29,M,Los Angeles,2025-06-20 19:19:54.011793,Bronze
33,Customer_33,75,F,Houston,2023-08-12 19:19:54.011793,Gold
34,Customer_34,39,F,New York,2023-12-11 19:19:54.011793,Silver
35,Customer_35,78,F,Chicago,2023-06-14 19:19:54.011793,Gold
36,Customer_36,61,F,Los Angeles,2023-10-13 19:19:54.011793,Gold
37,Customer_37,42,F,Los Angeles,2024-04-18 19:19:54.011793,Silver
38,Customer_38,66,M,Los Angeles,2024-07-31 19:19:54.011793,Bronze
39,Customer_39,44,M,Houston,2025-05-21 19:19:54.011793,Gold
40,Customer_40,76,M,New York,2024-02-13 19:19:54.011793,Silver
41,Customer_41,59,F,Phoenix,2024-01-20 19:19:54.011793,Silver
42,Customer_42,45,M,New York,2025-08-16 19:19:54.011793,Bronze
43,Customer_43,77,M,Houston,2023-10-10 19:19:54.011793,Silver
44,Customer_44,33,M,Los Angeles,2023-05-06 19:19:54.011793,Bronze
45,Customer_45,32,M,Chicago,2023-06-25 19:19:54.011793,Gold
46,Customer_46,79,M,Los Angeles,2023-06-19 19:19:54.011793,Silver
47,Customer_47,79,F,Phoenix,2024-09-24 19:19:54.011793,Gold
48,Customer_48,64,M,Chicago,2024-04-10 19:19:54.011793,Silver
49,Customer_49,79,F,Los Angeles,2025-09-20 19:19:54.011793,Silver
50,Customer_50,68,F,Chicago,2024-03-16 19:19:54.011793,Gold
51,Customer_51,61,F,New York,2024-03-04 19:19:54.011793,Silver
52,Customer_52,72,F,Houston,2023-08-21 19:19:54.011793,Gold
53,Customer_53,69,F,Los Angeles,2023-05-09 19:19:54.011793,Gold
54,Customer_54,74,M,Phoenix,2025-09-13 19:19:54.011793,Bronze
55,Customer_55,20,M,New York,2023-02-25 19:19:54.011793,Gold
56,Customer_56,54,F,Los Angeles,2023-12-02 19:19:54.011793,Bronze
57,Customer_57,68,F,New York,2023-03-22 19:19:54.011793,Gold
58,Customer_58,24,F,Phoenix,2024-07-17 19:19:54.011793,Silver
59,Customer_59,38,M,Los Angeles,2024-03-23 19:19:54.011793,Gold
60,Customer_60,26,F,Phoenix,2025-10-20 19:19:54.011793,Silver
61,Customer_61,56,M,Chicago,2024-11-10 19:19:54.011793,Bronze
62,Customer_62,35,F,Phoenix,2024-07-06 19:19:54.011793,Silver
63,Customer_63,21,M,Chicago,2023-07-21 19:19:54.011793,Gold
64,Customer_64,42,F,Los Angeles,2023-11-30 19:19:54.011793,Silver
65,Customer_65,77,M,Chicago,2024-06-21 19:19:54.011793,Bronze
66,Customer_66,31,F,Los Angeles,2025-06-17 19:19:54.011793,Silver
67,Customer_67,67,M,Los Angeles,2024-02-24 19:19:54.011793,Silver
68,Customer_68,75,M,Houston,2023-08-13 19:19:54.011793,Gold
69,Customer_69,26,M,Los Angeles,2023-09-20 19:19:54.011793,Gold
70,Customer_70,43,M,Chicago,2024-08-15 19:19:54.011793,Silver
71,Customer_71,70,M,Houston,2025-01-19 19:19:54.011793,Bronze
72,Customer_72,19,M,Houston,2025-04-10 19:19:54.011793,Silver
