transaction_id,date,store_id,product_id,quantity,unit_price,total_amount
1,2025-07-25 19:19:53.926533,2,1316,2,449.58,899.16
2,2024-11-21 19:19:53.926533,5,1898,6,271.81,1630.86
3,2025-02-07 19:19:53.926533,4,1085,5,75.97,379.85
4,2025-07-21 19:19:53.926533,9,1290,7,36.18,253.26
5,2025-08-25 19:19:53.926533,5,1468,4,68.73,274.92
6,2025-04-30 19:19:53.926533,9,1728,2,240.96,481.92
7,2025-10-15 19:19:53.926533,9,1870,3,337.55,1012.65
8,2025-07-25 19:19:53.926533,2,1577,9,324.23,2918.07
9,2025-07-06 19:19:53.926533,9,1768,8,80.77,646.16
10,2025-04-04 19:19:53.926533,3,1646,9,320.41,2883.69
11,2024-12-09 19:19:53.926533,4,1403,5,208.38,1041.9
12,2025-08-09 19:19:53.926533,1,1426,5,237.72,1188.6
13,2025-07-28 19:19:53.927531,1,1374,7,402.7,2818.9
14,2024-11-10 19:19:53.927531,1,1901,7,172.92,1210.44
15,2025-06-06 19:19:53.927531,9,1566,1,82.03,82.03
16,2025-06-27 19:19:53.927531,8,1867,5,437.99,2189.95
17,2025-06-08 19:19:53.927531,5,1754,8,113.94,911.52
18,2024-12-31 19:19:53.927531,5,1251,7,154.07,1078.49
19,2025-02-20 19:19:53.927531,9,1532,2,356.23,712.46
20,2024-11-26 19:19:53.927531,3,1306,8,344.94,2759.52
21,2025-01-15 19:19:53.927531,3,1429,2,402.2,804.4
22,2025-04-27 19:19:53.927531,7,1674,1,100.09,100.09
23,2025-02-01 19:19:53.927531,9,1867,3,182.62,547.86
24,2025-05-28 19:19:53.927531,6,1263,3,71.68,215.04
25,2024-12-26 19:19:53.927531,2,1067,6,275.11,1650.66
26,2025-10-14 19:19:53.927531,1,1106,3,153.36,460.08
27,2025-02-25 19:19:53.927531,2,1399,7,347.58,2433.06
28,2025-03-14 19:19:53.927531,1,1578,8,10.17,81.36
29,2024-11-25 19:19:53.927531,10,1198,3,39.24,117.72
30,2025-09-17 19:19:53.927531,10,1191,9,221.95,1997.55
31,2025-09-07 19:19:53.927531,9,1513,1,479.51,479.51
32,2025-05-19 19:19:53.927531,10,1768,3,446.52,1339.56
33,2025-05-01 19:19:53.927531,8,1441,3,497.06,1491.18
34,2025-02-07 19:19:53.927531,7,1000,7,214.25,1499.75
35,2025-04-29 19:19:53.927531,3,1357,5,32.82,164.1
36,2025-05-14 19:19:53.927531,8,1114,4,159.92,639.68
37,2025-09-15 19:19:53.927531,2,1902,2,341.13,682.26
38,2024-11-06 19:19:53.927531,2,1599,7,76.23,533.61
39,2025-09-11 19:19:53.927531,10,1196,3,156.99,470.97
40,2025-03-06 19:19:53.927531,3,1980,7,37.52,262.64
41,2024-12-20 19:19:53.927531,7,1603,7,242.73,1699.11
42,2025-06-27 19:19:53.927531,1,1273,2,112.37,224.74
43,2025-01-02 19:19:53.927531,8,1855,7,54.71,382.97
44,2025-06-23 19:19:53.927531,7,1159,6,211.5,1269.0
45,2025-10-15 19:19:53.927531,4,1172,4,182.1,728.4
46,2024-12-11 19:19:53.927531,5,1544,5,273.38,1366.9
47,2025-05-22 19:19:53.927531,10,1457,8,377.03,3016.24
48,2025-02-04 19:19:53.927531,1,1584,5,65.16,325.8
49,2025-08-08 19:19:53.927531,4,1432,3,397.65,1192.95
50,2024-12-24 19:19:53.927531,1,1928,2,22.88,45.76
51,2025-10-22 19:19:53.927531,1,1480,6,227.12,1362.72
52,2025-03-08 19:19:53.927531,10,1454,6,297.84,1787.04
53,2025-02-13 19:19:53.927531,1,1195,7,478.93,3352.51
54,2024-11-24 19:19:53.927531,7,1795,8,291.22,2329.76
55,2025-09-13 19:19:53.927531,7,1598,4,87.79,351.16
56,2024-11-30 19:19:53.927531,4,1308,8,263.6,2108.8
57,2025-08-05 19:19:53.927531,2,1735,1,203.93,203.93
58,2025-02-14 19:19:53.927531,3,1555,6,244.88,1469.28
59,2025-10-01 19:19:53.927531,8,1847,6,106.58,639.48
60,2025-04-13 19:19:53.927531,8,1493,3,255.41,766.23
61,2025-08-16 19:19:53.927531,6,1438,9,83.52,751.68
62,2025-09-16 19:19:53.927531,10,1649,5,374.58,1872.9
63,2024-11-10 19:19:53.927531,9,1781,1,301.01,301.01
64,2025-11-03 19:19:53.927531,9,1358,7,48.48,339.36
65,2025-09-12 19:19:53.927531,4,1035,3,445.91,1337.73
66,2025-07-22 19:19:53.927531,1,1033,4,312.03,1248.12
67,2025-02-18 19:19:53.927531,1,1087,6,164.89,989.34
68,2024-12-30 19:19:53.927531,10,1657,8,32.36,258.88
69,2025-04-28 19:19:53.927531,5,1015,4,319.79,1279.16
70,2025-04-01 19:19:53.927531,2,1744,9,192.99,1736.91
71,2025-09-22 19:19:53.927531,6,1420,8,454.73,3637.84
72,2025-05-27 19:19:53.927531,7,1552,6,27.09,162.54
73,2025-04-17 19:19:53.927531,1,1766,7,29.16,204.12
74,2025-02-08 19:19:53.927531,6,1792,8,475.16,3801.28
75,2024-11-19 19:19:53.927531,8,1125,2,482.79,965.58
76,2025-01-05 19:19:53.927531,5,1007,5,23.59,117.95
77,2025-02-07 19:19:53.927531,7,1471,7,360.86,2526.02
78,2025-04-04 19:19:53.927531,10,1467,8,118.53,948.24
79,2025-02-26 19:19:53.927531,6,1879,5,353.68,1768.4
80,2025-04-29 19:19:53.927531,4,1861,3,435.68,1307.04
81,2025-01-13 19:19:53.927531,7,1851,6,59.41,356.46
82,2025-04-06 19:19:53.927531,10,1509,5,127.0,635.0
83,2025-04-11 19:19:53.927531,9,1401,8,21.8,174.4
84,2025-03-13 19:19:53.927531,10,1835,9,31.48,283.32
85,2024-12-02 19:19:53.927531,10,1175,9,24.51,220.59
86,2025-09-13 19:19:53.927531,7,1739,6,402.33,2413.98
87,2025-01-29 19:19:53.927531,5,1965,4,156.16,624.64
88,2025-04-02 19:19:53.927531,7,1834,4,251.67,1006.68
89,2025-02-26 19:19:53.927531,3,1913,9,396.04,3564.36
90,2025-05-01 19:19:53.927531,2,1366,4,252.52,1010.08
91,2025-09-25 19:19:53.927531,5,1487,8,220.31,1762.48
92,2025-06-01 19:19:53.927531,4,1017,9,15.67,141.03
93,2025-10-21 19:19:53.927531,5,1055,5,288.34,1441.7
94,2025-01-08 19:19:53.927531,8,1918,6,71.12,426.72
95,2025-09-01 19:19:53.927531,4,1034,3,384.68,1154.04
96,2024-11-25 19:19:53.927531,9,1901,5,136.29,681.45
97,2024-12-13 19:19:53.927531,7,1629,5,340.35,1701.75
98,2025-10-27 19:19:53.927531,10,1793,2,326.65,653.3
99,2024-11-26 19:19:53.927531,7,1765,6,312.17,1873.02
100,2025-06-29 19:19:53.927531,8,1724,9,140.81,1267.29
101,2025-06-22 19:19:53.927531,6,1572,7,140.87,986.09
102,2025-09-03 19:19:53.927531,8,1599,8,432.89,3463.12
103,2025-06-19 19:19:53.927531,3,1782,2,16.28,32.56
104,2025-08-16 19:19:53.927531,10,1346,9,98.95,890.55
105,2025-05-26 19:19:53.927531,10,1031,3,308.98,926.94
106,2025-01-20 19:19:53.927531,1,1907,5,410.35,2051.75
107,2025-02-17 19:19:53.927531,6,1132,7,185.59,1299.13
108,2025-03-19 19:19:53.927531,1,1575,4,330.19,1320.76
109,2025-09-25 19:19:53.927531,9,1198,7,283.01,1981.07
110,2025-10-08 19:19:53.927531,2,1255,8,41.62,332.96
111,2025-06-23 19:19:53.927531,2,1341,4,314.66,1258.64
112,2025-04-18 19:19:53.927531,7,1666,5,408.81,2044.05
113,2024-12-12 19:19:53.927531,2,1974,3,496.3,1488.9
114,2025-02-10 19:19:53.927531,10,1230,5,24.52,122.6
115,2025-10-03 19:19:53.927531,8,1300,8,333.43,2667.44
116,2025-09-18 19:19:53.927531,6,1546,3,213.13,639.39
